"NAME","E_KS..1st.","E_Free","Spin","Gap","N_Au","N_Ag","DE1stStep","DE1stSteppa","EEFinal","EEFinalpa","DE_Bulk","DE_Bulk_peratom","NBONDS","AVBONDLEN","NAGAGBONDS","AVAGAGBONDLEN","AGAGRATIO","NAGAUBONDS","AVAGAUBONDLEN","AGAURATIO","NAUAUBONDS","AVAUAUBONDLEN","AUAURATIO","Type"
"1","Ag_00_Au_13_BBP_config_301_LE.xyz",-12922.1547,-12923.28,1,0.18626,13,0,0,0,0,0,-20.195,-1.5535,32,2.8069,0,0,0,0,0,0,32,2.8069,1,"BBP"
"2","Ag_01_Au_12_BBP_config_301.xyz",-12828.8336,-12829.9642,1,0.18336,12,1,0.0358,0.0028,0.0806,0.0062,-19.302,-1.4848,36,2.8449,0,0,0,10,2.9408,0.2778,26,2.8081,0.7222,"BBP"
"3","Ag_01_Au_12_BBP_config_302.xyz",-12829.0937,-12830.2478,1,0.18639,12,1,-0.2243,-0.0173,-0.203,-0.0156,-19.586,-1.5066,32,2.8101,0,0,0,5,2.7975,0.1563,27,2.8125,0.8438,"BBP"
"4","Ag_01_Au_12_BBP_config_303.xyz",-12829.258,-12830.4137,1,0.18854,12,1,-0.3886,-0.0299,-0.3689,-0.0284,-19.752,-1.5194,33,2.8192,0,0,0,6,2.8339,0.1818,27,2.816,0.8182,"BBP"
"5","Ag_01_Au_12_BBP_config_304_LE.xyz",-12829.101,-12830.2886,1,0.18916,12,1,-0.2316,-0.0178,-0.2438,-0.0188,-19.627,-1.5097,34,2.8282,0,0,0,7,2.8684,0.2059,27,2.8177,0.7941,"BBP"
"6","Ag_01_Au_12_BBP_config_305.xyz",-12829.1791,-12830.3213,1,0.18678,12,1,-0.3097,-0.0238,-0.2765,-0.0213,-19.659,-1.5123,32,2.8047,0,0,0,4,2.7685,0.125,28,2.8099,0.875,"BBP"
"7","Ag_02_Au_11_BBP_config_301.xyz",-12735.1297,-12736.83,1,0.16623,11,2,0.4543,0.0349,-0.0204,-0.0016,-18.591,-1.4301,34,2.8245,1,2.7573,0.0294,11,2.872,0.3235,22,2.8038,0.6471,"BBP"
"8","Ag_02_Au_11_BBP_config_302.xyz",-12735.8768,-12737.0719,1,0.1861,11,2,-0.2928,-0.0225,-0.2623,-0.0202,-18.833,-1.4487,35,2.8325,1,2.8508,0.0286,11,2.8498,0.3143,23,2.8234,0.6571,"BBP"
"9","Ag_02_Au_11_BBP_config_303.xyz",-12735.7724,-12737.2371,1,0.19341,11,2,-0.1884,-0.0145,-0.4275,-0.0329,-18.998,-1.4614,35,2.8354,1,3.1056,0.0286,13,2.8518,0.3714,21,2.8124,0.6,"BBP"
"10","Ag_02_Au_11_BBP_config_304.xyz",-12735.866,-12737.0058,1,0.17552,11,2,-0.282,-0.0217,-0.1962,-0.0151,-18.767,-1.4436,36,2.8411,0,0,0,14,2.8865,0.3889,22,2.8123,0.6111,"BBP"
"11","Ag_02_Au_11_BBP_config_305.xyz",-12736.0479,-12737.2069,1,0.18639,11,2,-0.4639,-0.0357,-0.3973,-0.0306,-18.968,-1.4591,32,2.8004,0,0,0,10,2.7987,0.3125,22,2.8012,0.6875,"BBP"
"12","Ag_02_Au_11_BBP_config_306.xyz",-12736.1138,-12737.295,1,0.18665,11,2,-0.5298,-0.0408,-0.4854,-0.0373,-19.056,-1.4658,32,2.8036,1,2.856,0.0313,9,2.7991,0.2813,22,2.803,0.6875,"BBP"
"13","Ag_02_Au_11_BBP_config_307.xyz",-12736.2042,-12737.387,1,0.1885,11,2,-0.6202,-0.0477,-0.5774,-0.0444,-19.148,-1.4729,34,2.8291,0,0,0,11,2.8018,0.3235,23,2.8421,0.6765,"BBP"
"14","Ag_02_Au_11_BBP_config_308.xyz",-12735.9601,-12737.189,1,0.19023,11,2,-0.3761,-0.0289,-0.3794,-0.0292,-18.95,-1.4577,34,2.825,1,2.9081,0.0294,10,2.8284,0.2941,23,2.8198,0.6765,"BBP"
"15","Ag_02_Au_11_BBP_config_309_LE.xyz",-12736.047,-12737.3963,1,0.19595,11,2,-0.463,-0.0356,-0.5867,-0.0451,-19.157,-1.4736,33,2.8166,0,0,0,12,2.8129,0.3636,21,2.8187,0.6364,"BBP"
"16","Ag_02_Au_11_BBP_config_310.xyz",-12736.0903,-12737.262,1,0.18798,11,2,-0.5063,-0.0389,-0.4524,-0.0348,-19.023,-1.4633,34,2.828,0,0,0,9,2.7845,0.2647,25,2.8437,0.7353,"BBP"
"17","Ag_02_Au_11_BBP_config_311.xyz",-12736.2344,-12737.3932,1,0.19246,11,2,-0.6504,-0.05,-0.5836,-0.0449,-19.154,-1.4734,32,2.8025,1,2.8457,0.0313,8,2.7999,0.25,23,2.8015,0.7188,"BBP"
"18","Ag_02_Au_11_BBP_config_312.xyz",-12736.3373,-12737.5788,1,0.19112,11,2,-0.7533,-0.0579,-0.7693,-0.0592,-19.34,-1.4877,32,2.8073,0,0,0,12,2.835,0.375,20,2.7907,0.625,"BBP"
"19","Ag_02_Au_11_BBP_config_313.xyz",-12736.2783,-12737.4394,1,0.19122,11,2,-0.6943,-0.0534,-0.6298,-0.0484,-19.2,-1.477,33,2.8161,0,0,0,10,2.8208,0.303,23,2.8141,0.697,"BBP"
"20","Ag_02_Au_11_BBP_config_314.xyz",-12736.0572,-12737.2725,1,0.18602,11,2,-0.4732,-0.0364,-0.4629,-0.0356,-19.033,-1.4641,33,2.8159,1,3.0753,0.0303,10,2.7988,0.303,22,2.8119,0.6667,"BBP"
"21","Ag_02_Au_11_BBP_config_315.xyz",-12736.1425,-12737.3504,1,0.17939,11,2,-0.5585,-0.043,-0.5408,-0.0416,-19.111,-1.4701,35,2.8403,0,0,0,12,2.8439,0.3429,23,2.8384,0.6571,"BBP"
"22","Ag_02_Au_11_BBP_config_316.xyz",-12736.1583,-12737.3673,1,0.18685,11,2,-0.5743,-0.0442,-0.5577,-0.0429,-19.128,-1.4714,34,2.8276,0,0,0,12,2.8336,0.3529,22,2.8244,0.6471,"BBP"
"23","Ag_02_Au_11_BBP_config_317.xyz",-12736.2637,-12737.4757,1,0.19145,11,2,-0.6797,-0.0523,-0.6661,-0.0512,-19.237,-1.4797,33,2.8194,0,0,0,13,2.8537,0.3939,20,2.797,0.6061,"BBP"
"24","Ag_02_Au_11_BBP_config_318.xyz",-12736.1893,-12737.4011,1,0.19667,11,2,-0.6053,-0.0466,-0.5915,-0.0455,-19.162,-1.474,34,2.8265,1,2.7343,0.0294,7,2.801,0.2059,26,2.8369,0.7647,"BBP"
"25","Ag_02_Au_11_BBP_config_319.xyz",-12736.3065,-12737.4816,1,0.19551,11,2,-0.7225,-0.0556,-0.672,-0.0517,-19.243,-1.4802,34,2.8218,0,0,0,9,2.785,0.2647,25,2.835,0.7353,"BBP"
"26","Ag_02_Au_11_BBP_config_320.xyz",-12735.9968,-12737.2418,1,0.1908,11,2,-0.4128,-0.0318,-0.4322,-0.0332,-19.003,-1.4618,32,2.804,1,2.75,0.0313,8,2.7683,0.25,23,2.8187,0.7188,"BBP"
"27","Ag_02_Au_11_BBP_config_321.xyz",-12735.9361,-12737.1905,1,0.18207,11,2,-0.3521,-0.0271,-0.3809,-0.0293,-18.951,-1.4578,34,2.8299,1,2.8257,0.0294,10,2.8626,0.2941,23,2.8158,0.6765,"BBP"
"28","Ag_02_Au_11_BBP_config_322.xyz",-12735.9725,-12737.3233,1,0.1992,11,2,-0.3885,-0.0299,-0.5137,-0.0395,-19.084,-1.468,35,2.8311,0,0,0,10,2.7901,0.2857,25,2.8475,0.7143,"BBP"
"29","Ag_02_Au_11_BBP_config_323.xyz",-12736.0218,-12737.2335,1,0.1948,11,2,-0.4378,-0.0337,-0.4239,-0.0326,-18.994,-1.4611,34,2.8196,1,2.8626,0.0294,9,2.8252,0.2647,24,2.8157,0.7059,"BBP"
"30","Ag_02_Au_11_BBP_config_324.xyz",-12736.1248,-12737.3313,1,0.1905,11,2,-0.5408,-0.0416,-0.5217,-0.0401,-19.092,-1.4686,34,2.8227,0,0,0,11,2.8297,0.3235,23,2.8193,0.6765,"BBP"
