NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
Ag_00_Au_13_BBP_config_301_LE.xyz,-11709.4453,-11711.2224,0.995,0.17902,13,0,0,0,0,0,-9.636,-0.7413,32,2.8069,0,0,0,0,0,0,32,2.8069,1,BBP,C2v,0,0.0001,C2v
Ag_01_Au_12_BBP_config_301.xyz,-11803.2778,-11804.9435,0.994,0.17647,12,1,-0.5472,-0.0421,-0.486,-0.0374,-10.935,-0.8411,36,2.8449,0,0,0,10,2.9408,0.2778,26,2.8081,0.7222,BBP,C2v,0,0.0001,C2v
Ag_01_Au_12_BBP_config_302.xyz,-11802.9637,-11804.7539,0.995,0.17752,12,1,-0.2331,-0.0179,-0.2963,-0.0228,-10.745,-0.8265,32,2.8101,0,0,0,5,2.7975,0.1563,27,2.8125,0.8438,BBP,Cs,0,0,C2v
Ag_01_Au_12_BBP_config_303.xyz,-11802.9362,-11805.0491,0.994,0.17505,12,1,-0.2056,-0.0158,-0.5915,-0.0455,-11.04,-0.8492,33,2.8192,0,0,0,6,2.8339,0.1818,27,2.816,0.8182,BBP,NO,,,C2v
Ag_01_Au_12_BBP_config_304_LE.xyz,-11803.0598,-11805.1135,0.993,0.17021,12,1,-0.3292,-0.0253,-0.656,-0.0505,-11.105,-0.8542,34,2.8282,0,0,0,7,2.8684,0.2059,27,2.8177,0.7941,BBP,NO,,,C2v
Ag_01_Au_12_BBP_config_305.xyz,-11802.8961,-11804.6077,0.993,0.17124,12,1,-0.1655,-0.0127,-0.1501,-0.0115,-10.599,-0.8153,32,2.8047,0,0,0,4,2.7685,0.125,28,2.8099,0.875,BBP,Cs,0,0.0001,C2v
Ag_02_Au_11_BBP_config_301.xyz,-11896.7125,-11898.3391,0.996,0.18427,11,2,-0.6965,-0.0536,-0.6463,-0.0497,-11.907,-0.9159,34,2.8245,1,2.7573,0.0294,11,2.872,0.3235,22,2.8038,0.6471,BBP,Cs,0,0.0001,C2v
Ag_02_Au_11_BBP_config_302.xyz,-11896.6964,-11898.4327,0.995,0.17825,11,2,-0.6804,-0.0523,-0.7399,-0.0569,-12.001,-0.9231,35,2.8325,1,2.8508,0.0286,11,2.8498,0.3143,23,2.8234,0.6571,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_303.xyz,-11896.8762,-11898.4709,0.996,0.19008,11,2,-0.8602,-0.0662,-0.7781,-0.0599,-12.039,-0.9261,35,2.8354,1,3.1056,0.0286,13,2.8518,0.3714,21,2.8124,0.6,BBP,NO,,,NO
Ag_02_Au_11_BBP_config_304.xyz,-11896.7319,-11898.3405,0.993,0.17014,11,2,-0.7159,-0.0551,-0.6477,-0.0498,-11.908,-0.916,36,2.8411,0,0,0,14,2.8865,0.3889,22,2.8123,0.6111,BBP,Cs,0,0.0001,C2v
Ag_02_Au_11_BBP_config_305.xyz,-11896.4958,-11898.1367,0.998,0.12162,11,2,-0.4798,-0.0369,-0.4439,-0.0341,-11.705,-0.9004,32,2.8004,0,0,0,10,2.7987,0.3125,22,2.8012,0.6875,BBP,C2v,0,0.0001,C2v
Ag_02_Au_11_BBP_config_306.xyz,-11896.3731,-11898.5417,0.995,0.18122,11,2,-0.3571,-0.0275,-0.8489,-0.0653,-12.11,-0.9315,32,2.8036,1,2.856,0.0313,9,2.7991,0.2813,22,2.803,0.6875,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_307.xyz,-11896.4685,-11898.5013,0.994,0.17404,11,2,-0.4525,-0.0348,-0.8085,-0.0622,-12.069,-0.9284,34,2.8291,0,0,0,11,2.8018,0.3235,23,2.8421,0.6765,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_308.xyz,-11896.4879,-11898.4706,0.993,0.17058,11,2,-0.4719,-0.0363,-0.7778,-0.0598,-12.039,-0.926,34,2.825,1,2.9081,0.0294,10,2.8284,0.2941,23,2.8198,0.6765,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_309_LE.xyz,-11896.5857,-11898.6666,0.994,0.17222,11,2,-0.5697,-0.0438,-0.9738,-0.0749,-12.235,-0.9411,33,2.8166,0,0,0,12,2.8129,0.3636,21,2.8187,0.6364,BBP,NO,,,NO
Ag_02_Au_11_BBP_config_310.xyz,-11896.3831,-11898.3077,0.995,0.17938,11,2,-0.3671,-0.0282,-0.6149,-0.0473,-11.876,-0.9135,34,2.828,0,0,0,9,2.7845,0.2647,25,2.8437,0.7353,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_311.xyz,-11896.2657,-11897.9284,0.996,0.17594,11,2,-0.2497,-0.0192,-0.2356,-0.0181,-11.496,-0.8843,32,2.8025,1,2.8457,0.0313,8,2.7999,0.25,23,2.8015,0.7188,BBP,Cs,0,0.0001,C2v
Ag_02_Au_11_BBP_config_312.xyz,-11896.4174,-11898.5495,0.996,0.18932,11,2,-0.4014,-0.0309,-0.8567,-0.0659,-12.118,-0.9321,32,2.8073,0,0,0,12,2.835,0.375,20,2.7907,0.625,BBP,Cs,9.4984,0.3082,C2
Ag_02_Au_11_BBP_config_313.xyz,-11896.3223,-11898.1553,0.988,0.15254,11,2,-0.3063,-0.0236,-0.4625,-0.0356,-11.723,-0.9018,33,2.8161,0,0,0,10,2.8208,0.303,23,2.8141,0.697,BBP,C2,0.0002,0.0013,C2v
Ag_02_Au_11_BBP_config_314.xyz,-11896.4049,-11898.4744,0.995,0.18157,11,2,-0.3889,-0.0299,-0.7816,-0.0601,-12.042,-0.9263,33,2.8159,1,3.0753,0.0303,10,2.7988,0.303,22,2.8119,0.6667,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_315.xyz,-11896.5069,-11898.5381,0.996,0.18564,11,2,-0.4909,-0.0378,-0.8453,-0.065,-12.106,-0.9312,35,2.8403,0,0,0,12,2.8439,0.3429,23,2.8384,0.6571,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_316.xyz,-11896.5377,-11898.5618,0.993,0.16976,11,2,-0.5217,-0.0401,-0.869,-0.0668,-12.13,-0.9331,34,2.8276,0,0,0,12,2.8336,0.3529,22,2.8244,0.6471,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_317.xyz,-11896.5971,-11898.6644,0.993,0.17038,11,2,-0.5811,-0.0447,-0.9716,-0.0747,-12.232,-0.941,33,2.8194,0,0,0,13,2.8537,0.3939,20,2.797,0.6061,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_318.xyz,-11896.2493,-11898.0909,0.995,0.17712,11,2,-0.2333,-0.0179,-0.3981,-0.0306,-11.659,-0.8968,34,2.8265,1,2.7343,0.0294,7,2.801,0.2059,26,2.8369,0.7647,BBP,NO,,,C2h
Ag_02_Au_11_BBP_config_319.xyz,-11896.3857,-11898.1961,0.994,0.17415,11,2,-0.3697,-0.0284,-0.5034,-0.0387,-11.764,-0.9049,34,2.8218,0,0,0,9,2.785,0.2647,25,2.835,0.7353,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_320.xyz,-11896.6328,-11898.306,0.997,0.19468,11,2,-0.6168,-0.0474,-0.6132,-0.0472,-11.874,-0.9134,32,2.804,1,2.75,0.0313,8,2.7683,0.25,23,2.8187,0.7188,BBP,Cs,0,0.0002,C2v
Ag_02_Au_11_BBP_config_321.xyz,-11896.568,-11898.165,0.996,0.18965,11,2,-0.552,-0.0425,-0.4722,-0.0363,-11.733,-0.9025,34,2.8299,1,2.8257,0.0294,10,2.8626,0.2941,23,2.8158,0.6765,BBP,Cs,0,0,C2v
Ag_02_Au_11_BBP_config_322.xyz,-11896.5838,-11898.3642,0.997,0.19416,11,2,-0.5678,-0.0437,-0.6714,-0.0516,-11.932,-0.9179,35,2.8311,0,0,0,10,2.7901,0.2857,25,2.8475,0.7143,BBP,C2,4.2791,0.2069,C2
Ag_02_Au_11_BBP_config_323.xyz,-11896.4203,-11898.258,0.996,0.18282,11,2,-0.4043,-0.0311,-0.5652,-0.0435,-11.826,-0.9097,34,2.8196,1,2.8626,0.0294,9,2.8252,0.2647,24,2.8157,0.7059,BBP,NO,,,C2
Ag_02_Au_11_BBP_config_324.xyz,-11896.524,-11898.3768,0.995,0.17848,11,2,-0.508,-0.0391,-0.684,-0.0526,-11.945,-0.9188,34,2.8227,0,0,0,11,2.8297,0.3235,23,2.8193,0.6765,BBP,NO,,,C2v
Ag_02_Au_11_BBP_config_325.xyz,-11896.3317,-11897.9793,0.993,0.17011,11,2,-0.3157,-0.0243,-0.2865,-0.022,-11.547,-0.8883,32,2.8026,0,0,0,8,2.7685,0.25,24,2.814,0.75,BBP,C2v,0.366,0.0605,C2v
Ag_03_Au_10_BBP_config_301.xyz,-11990.1552,-11991.7128,0.996,0.18392,10,3,-0.8539,-0.0657,-0.7848,-0.0604,-12.858,-0.9891,36,2.8425,2,2.792,0.0556,16,2.898,0.4444,18,2.7988,0.5,BBP,C2v,0.024,0.0155,C2v
