NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_pa,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
cubo_Ag_00_Au_13_config_301,-11710.3744,-11710.37827,0.99,0.67304,13,0,0,0,0.08395,0.006458,17.65909,1.358392,36,2.84236,0,0,0,0,0,0,36,2.84236,1,Cubo,Oh,0.0000,0.0000,Oh
cubo_Ag_00_Au_13_distorted,-11710.3744,-11710.46222,0.99,0.67304,13,0,0,0,0,0,17.57514,1.351934,36,2.84236,0,0,0,0,0,0,36,2.84236,1,Cubo,Oh,0.6032,0.0777,Oh
cubo_Ag_01_Au_12_config_301,-11804.2223,-11804.22227,0.98,0.72743,12,1,-0.610892,-0.046992,-0.520291,-0.040022,17.003924,1.307994,,,,,,,,,,,,Cubo,Oh,0.0000,0.0000,Oh
cubo_Ag_01_Au_12_config_302,-11803.9252,-11804.0078,1,0.20713,12,1,-0.313792,-0.024138,-0.305821,-0.023525,17.218394,1.324492,36,2.84094,0,0,0,5,2.82807,0.1389,31,2.84301,0.8611,Cubo,Oh,0.4908,0.0701,Oh
cubo_Ag_01_Au_12_distorted,-11804.2223,-11804.28694,1,0.20713,12,1,-0.610892,-0.046992,-0.584961,-0.044997,16.939254,1.30302,36,2.83361,0,0,0,12,2.83281,0.3333,24,2.83401,0.6667,Cubo,C2v,0.0011,0.0033,Oh
cubo_Ag_02_Au_11_config_301,-11897.7362,-11897.82204,1,0.18203,11,2,-0.887785,-0.068291,-0.880302,-0.067716,16.592988,1.276384,36,2.83143,1,2.72444,0.0278,15,2.8405,0.4167,20,2.82997,0.5556,Cubo,C2v,0.0015,0.0038,Oh
cubo_Ag_02_Au_11_config_302,-11897.2442,-11897.34654,0.99,0.15554,11,2,-0.395785,-0.030445,-0.404802,-0.031139,17.068488,1.312961,36,2.8429,1,2.98164,0.0278,8,2.80369,0.2222,27,2.84938,0.75,Cubo,Cs,0.0018,0.0042,Oh
cubo_Ag_02_Au_11_config_303,-11897.4263,-11897.50038,1,0.18555,11,2,-0.577885,-0.044453,-0.558642,-0.042972,16.914648,1.301127,36,2.84027,0,0,0,10,2.83448,0.2778,26,2.84249,0.7222,Cubo,C2v,0.0031,0.0056,Oh
cubo_Ag_02_Au_11_config_304,-11897.3365,-11897.44164,1,0.1971,11,2,-0.488085,-0.037545,-0.499902,-0.038454,16.973388,1.305645,36,2.84164,0,0,0,10,2.8356,0.2778,26,2.84396,0.7222,Cubo,NO,,,Oh
cubo_Ag_02_Au_11_config_305,-11897.5105,-11897.59055,1,0.22808,11,2,-0.662085,-0.05093,-0.648812,-0.049909,16.824478,1.294191,36,2.83925,0,0,0,10,2.81921,0.2778,26,2.84696,0.7222,Cubo,D2h,0.0000,0.0002,Oh
cubo_Ag_03_Au_10_config_301,-11990.9921,-11991.13849,0.99,0.15474,10,3,-0.906677,-0.069744,-0.956992,-0.073615,16.465372,1.266567,36,2.83383,3,2.85046,0.0833,16,2.82508,0.4444,17,2.83913,0.4722,Cubo,Cs,,,Oh
cubo_Ag_03_Au_10_config_302,-11991.2223,-11991.29312,0.99,0.16911,10,3,-1.136877,-0.087452,-1.111622,-0.085509,16.310742,1.254672,36,2.83103,2,2.76916,0.0556,18,2.84188,0.5,16,2.82656,0.4444,Cubo,C2v,0.0153,0.0124,Oh
cubo_Ag_03_Au_10_config_303,-11991.1138,-11991.22808,1,0.1594,10,3,-1.028377,-0.079106,-1.046582,-0.080506,16.375782,1.259676,36,2.83098,2,2.79143,0.0556,18,2.83378,0.5,16,2.83278,0.4444,Cubo,NO,,,Oh
