NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,NAG,NAU,Dir,Conf,Schoenflies symbol,CSM,RMS
deca_Ag_00_Au_13_config_301,-11709.4871,-11709.73264,0.99941,0.24287,13,0,0,0,0,0,-8.146639,-0.626665,37,2.8566728,0,0,0,0,0,0,37,2.8566728,1,Deca,FALTAN LOS PUROS,,,,,,
deca_Ag_01_Au_12_config_301,-11803.03718,-11805.33818,1.00062,0.41522,12,1,-0.28570308,-0.02197716,-2.32646923,-0.17895917,-11.329175,-0.871475,33,2.8181951,0,0,0,5,2.7657592,0.1515,28,2.8275585,0.8485,Deca,1,12,Ag_01,deca_Ag_01_Au_12_config_301,NO,NA,NA
deca_Ag_01_Au_12_config_302,-11803.1677,-11803.54793,0.99891,0.22359,12,1,-0.41622308,-0.03201716,-0.53621923,-0.04124763,-9.538932,-0.733764,37,2.8466344,0,0,0,12,2.8439543,0.3243,25,2.8479202,0.6757,Deca,1,12,Ag_01,deca_Ag_01_Au_12_config_302,D5h,0.0012,0.0034
deca_Ag_01_Au_12_config_303,-11802.9855,-11805.04237,0.99383,0.17332,12,1,-0.23402308,-0.01800178,-2.03065923,-0.15620456,-11.033373,-0.848721,34,2.8195324,0,0,0,7,2.8755839,0.2059,27,2.8050001,0.7941,Deca,1,12,Ag_01,deca_Ag_01_Au_12_config_303,NO,NA,NA
deca_Ag_02_Au_11_config_301,-11896.8004,-11898.37799,0.98896,0.1558,11,2,-0.78454615,-0.0603497,-2.08720846,-0.1605545,-11.94599,-0.918922,31,2.8060765,0,0,0,12,2.8235531,0.3871,19,2.7950385,0.6129,Deca,2,11,Ag_02,deca_Ag_02_Au_11_config_301,NO,NA,NA
deca_Ag_02_Au_11_config_302,-11896.7966,-11897.12949,0.99462,0.1774,11,2,-0.78074615,-0.0600574,-0.83870846,-0.06451604,-10.697492,-0.822884,37,2.855763,0,0,0,12,2.8112679,0.3243,25,2.8771207,0.6757,Deca,2,11,Ag_02,deca_Ag_02_Au_11_config_302,C5,0.9984,0.0999
deca_Ag_02_Au_11_config_303,-11896.4924,-11898.53117,0.99697,0.19479,11,2,-0.47654615,-0.0366574,-2.24038846,-0.17233757,-12.099166,-0.930705,34,2.8179131,1,2.9856515,0.0294,11,2.8246975,0.3235,22,2.806896,0.6471,Deca,2,11,Ag_02,deca_Ag_02_Au_11_config_303,Cs,0.0480,0.0219
deca_Ag_02_Au_11_config_304,-11896.5528,-11898.78395,0.9963,0.18866,11,2,-0.53694615,-0.04130355,-2.49316846,-0.19178219,-12.35195,-0.95015,36,2.8462524,1,3.0637958,0.0278,12,2.8322728,0.3333,23,2.8440888,0.6389,Deca,2,11,Ag_02,deca_Ag_02_Au_11_config_304,NO,NA,NA
deca_Ag_02_Au_11_config_305,-11896.7183,-11898.76047,0.99262,0.16797,11,2,-0.70244615,-0.05403432,-2.46968846,-0.18997604,-12.328466,-0.948344,36,2.8478346,1,3.18504,0.0278,15,2.8674884,0.4167,20,2.8162336,0.5556,Deca,2,11,Ag_02,deca_Ag_02_Au_11_config_305,NO,NA,NA
deca_Ag_02_Au_11_config_306,-11896.2918,-11898.48557,0.99479,0.17842,11,2,-0.27594615,-0.02122663,-2.19478846,-0.16882988,-12.053565,-0.927197,34,2.8193455,0,0,0,9,2.7782698,0.2647,25,2.8341334,0.7353,Deca,2,11,Ag_02,deca_Ag_02_Au_11_config_306,NO,NA,NA
