NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
deca_Ag_00_Au_13_config_301,-11709.4871,-11709.73264,0.99941,0.24287,13,0,0,0,0,0,18.303667,1.407974,37,2.8566728,0,0,0,0,0,0,37,2.8566728,1,Deca,D5h,0.0008,0.0029,D5h
deca_Ag_01_Au_12_config_301,-11803.0372,-11805.33818,1.00062,0.41522,12,1,-0.285703,-0.021977,-2.326469,-0.178959,15.887042,1.22208,33,2.8181951,0,0,0,5,2.7657592,0.1515,28,2.8275585,0.8485,Deca,NO,,,NO
deca_Ag_01_Au_12_config_302,-11803.1677,-11803.54793,0.99891,0.22359,12,1,-0.416223,-0.032017,-0.536219,-0.041248,17.677292,1.359792,37,2.8466344,0,0,0,12,2.8439543,0.3243,25,2.8479202,0.6757,Deca,D5h,0.0012,0.0034,D5h
deca_Ag_01_Au_12_config_303,-11802.9855,-11805.04237,0.99383,0.17332,12,1,-0.234023,-0.018002,-2.030659,-0.156205,16.182852,1.244835,34,2.8195324,0,0,0,7,2.8755839,0.2059,27,2.8050001,0.7941,Deca,NO,,,NO
deca_Ag_02_Au_11_config_301,-11896.8004,-11898.37799,0.98896,0.1558,11,2,-0.784546,-0.06035,-2.087208,-0.160555,16.036147,1.23355,31,2.8060765,0,0,0,12,2.8235531,0.3871,19,2.7950385,0.6129,Deca,NO,,,NO
deca_Ag_02_Au_11_config_302,-11896.7966,-11897.12949,0.99462,0.1774,11,2,-0.780746,-0.060057,-0.838708,-0.064516,17.284647,1.329588,37,2.855763,0,0,0,12,2.8112679,0.3243,25,2.8771207,0.6757,Deca,D5h,1.0361,0.1018,D5h
deca_Ag_02_Au_11_config_303,-11896.4924,-11898.53117,0.99697,0.19479,11,2,-0.476546,-0.036657,-2.240388,-0.172338,15.882967,1.221767,34,2.8179131,1,2.9856515,0.0294,11,2.8246975,0.3235,22,2.806896,0.6471,Deca,Cs,0.048,0.0219,C2v
deca_Ag_02_Au_11_config_304,-11896.5528,-11898.78395,0.9963,0.18866,11,2,-0.536946,-0.041304,-2.493168,-0.191782,15.630187,1.202322,36,2.8462524,1,3.0637958,0.0278,12,2.8322728,0.3333,23,2.8440888,0.6389,Deca,NO,,,NO
deca_Ag_02_Au_11_config_305,-11896.7183,-11898.76047,0.99262,0.16797,11,2,-0.702446,-0.054034,-2.469688,-0.189976,15.653667,1.204128,36,2.8478346,1,3.18504,0.0278,15,2.8674884,0.4167,20,2.8162336,0.5556,Deca,NO,,,NO
deca_Ag_02_Au_11_config_306,-11896.2918,-11898.48557,0.99479,0.17842,11,2,-0.275946,-0.021227,-2.194788,-0.16883,15.928567,1.225274,34,2.8193455,0,0,0,9,2.7782698,0.2647,25,2.8341334,0.7353,Deca,NO,,,NO
