NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type
deca_Ag_00_Au_13_config_301,-11709.4871,-11709.732639,0.999407,0.24287,13,0,0.000000,0.000000,0.000000,0.000000,-8.146639,-0.626665,37,2.8566728,0,0.0000000,0.0000,0,0.0000000,0.0000,37,2.8566728,1.0000,Deca
deca_Ag_01_Au_12_config_301,-11805.3296,-11805.338175,0.997840,0.20478,12,1,-2.578123,-0.198317,-2.326465,-0.178959,-11.329175,-0.871475,33,2.8181951,0,0.0000000,0.0000,5,2.7657592,0.1515,28,2.8275585,0.8485,Deca
deca_Ag_01_Au_12_config_302,-11803.1677,-11803.547932,0.998914,0.22359,12,1,-0.416223,-0.032017,-0.536222,-0.041248,-9.538932,-0.733764,37,2.8466344,0,0.0000000,0.0000,12,2.8439543,0.3243,25,2.8479202,0.6757,Deca
deca_Ag_01_Au_12_config_303,-11802.9855,-11805.042373,0.993827,0.17332,12,1,-0.234023,-0.018002,-2.030663,-0.156205,-11.033373,-0.848721,34,2.8195324,0,0.0000000,0.0000,7,2.8755839,0.2059,27,2.8050001,0.7941,Deca
deca_Ag_02_Au_11_config_301,-11896.8004,-11898.377990,0.988958,0.15580,11,2,-0.784546,-0.060350,-2.087209,-0.160555,-11.945990,-0.918922,31,2.8060765,0,0.0000000,0.0000,12,2.8235531,0.3871,19,2.7950385,0.6129,Deca
deca_Ag_02_Au_11_config_302,-11896.7966,-11897.129492,0.994618,0.17740,11,2,-0.780746,-0.060057,-0.838711,-0.064516,-10.697492,-0.822884,37,2.8557630,0,0.0000000,0.0000,12,2.8112679,0.3243,25,2.8771207,0.6757,Deca
deca_Ag_02_Au_11_config_303,-11896.4924,-11898.531166,0.996974,0.19479,11,2,-0.476546,-0.036657,-2.240385,-0.172337,-12.099166,-0.930705,34,2.8179131,1,2.9856515,0.0294,11,2.8246975,0.3235,22,2.8068960,0.6471,Deca
deca_Ag_02_Au_11_config_304,-11896.5528,-11898.783950,0.996298,0.18866,11,2,-0.536946,-0.041304,-2.493169,-0.191782,-12.351950,-0.950150,36,2.8462524,1,3.0637958,0.0278,12,2.8322728,0.3333,23,2.8440888,0.6389,Deca
deca_Ag_02_Au_11_config_305,-11896.7183,-11898.760466,0.992619,0.16797,11,2,-0.702446,-0.054034,-2.469685,-0.189976,-12.328466,-0.948344,36,2.8478346,1,3.1850400,0.0278,15,2.8674884,0.4167,20,2.8162336,0.5556,Deca
deca_Ag_02_Au_11_config_306,-11896.2918,-11898.485565,0.994791,0.17842,11,2,-0.275946,-0.021227,-2.194784,-0.168830,-12.053565,-0.927197,34,2.8193455,0,0.0000000,0.0000,9,2.7782698,0.2647,25,2.8341334,0.7353,Deca
deca_Ag_02_Au_11_config_307,-11896.5187,-11898.649073,0.996881,0.19406,11,2,-0.502846,-0.038680,-2.358292,-0.181407,-12.217073,-0.939775,34,2.8181133,1,3.0131600,0.0294,12,2.8423300,0.3529,21,2.7949858,0.6176,Deca
deca_Ag_02_Au_11_config_308,-11896.3460,-11896.648994,2.984702,0.14869,11,2,-0.330146,-0.025396,-0.358213,-0.027555,-10.216994,-0.785923,37,2.8548617,1,2.9121351,0.0270,8,2.8021119,0.2162,28,2.8678877,0.7568,Deca
deca_Ag_02_Au_11_config_309,-11896.5728,-11898.507388,0.992910,0.16916,11,2,-0.556946,-0.042842,-2.216607,-0.170508,-12.075388,-0.928876,31,2.7944274,1,2.9221046,0.0323,10,2.7819271,0.3226,20,2.7942939,0.6452,Deca
deca_Ag_02_Au_11_config_310,-11896.5794,-11898.609885,0.994115,0.17477,11,2,-0.563546,-0.043350,-2.319104,-0.178393,-12.177885,-0.936760,34,2.8160572,0,0.0000000,0.0000,12,2.8243015,0.3529,22,2.8115599,0.6471,Deca
deca_Ag_03_Au_10_config_301,-11990.5396,-11990.933820,0.994862,0.17864,10,3,-1.259369,-0.096875,-1.363968,-0.104921,-12.078820,-0.929140,37,2.8492489,2,2.8903501,0.0541,20,2.8194761,0.5405,15,2.8834660,0.4054,Deca
deca_Ag_03_Au_10_config_302,-11990.2311,-11991.884333,0.990377,0.15995,10,3,-0.950869,-0.073144,-2.314481,-0.178037,-13.029333,-1.002256,33,2.8256457,1,2.8190813,0.0303,16,2.8140852,0.4848,16,2.8376169,0.4848,Deca
deca_Ag_03_Au_10_config_303,-11990.3386,-11992.298316,0.996944,0.19457,10,3,-1.058369,-0.081413,-2.728464,-0.209882,-13.443316,-1.034101,36,2.8418832,2,2.9584668,0.0556,17,2.8537009,0.4722,17,2.8163486,0.4722,Deca
deca_Ag_03_Au_10_config_304,-11990.2523,-11992.182196,0.995552,0.18322,10,3,-0.972069,-0.074775,-2.612344,-0.200950,-13.327196,-1.025169,34,2.8118904,2,2.9059424,0.0588,15,2.8058639,0.4412,17,2.8061428,0.5000,Deca
deca_Ag_03_Au_10_config_305,-11988.9654,-11991.876314,0.997456,0.19993,10,3,0.314831,0.024218,-2.306462,-0.177420,-13.021314,-1.001640,33,2.8075080,3,2.7928085,0.0909,11,2.8202786,0.3333,19,2.8024354,0.5758,Deca
deca_Ag_03_Au_10_config_306,-11989.8746,-11992.253418,0.998510,0.21631,10,3,-0.594369,-0.045721,-2.683566,-0.206428,-13.398418,-1.030648,33,2.8142576,2,2.9172435,0.0606,15,2.8037329,0.4545,16,2.8112516,0.4848,Deca
deca_Ag_03_Au_10_config_307,-11989.6599,-11990.163070,0.997871,0.16795,10,3,-0.379669,-0.029205,-0.593218,-0.045632,-11.308070,-0.869852,37,2.8580277,2,2.9420395,0.0541,12,2.7947233,0.3243,23,2.8837512,0.6216,Deca
deca_Ag_03_Au_10_config_308,-11990.0303,-11992.056055,0.996513,0.19050,10,3,-0.750069,-0.057698,-2.486203,-0.191246,-13.201055,-1.015466,31,2.7934077,2,2.8551800,0.0645,14,2.7816067,0.4516,15,2.7961853,0.4839,Deca
deca_Ag_03_Au_10_config_309,-11990.0280,-11992.084249,0.992726,0.16840,10,3,-0.747769,-0.057521,-2.514397,-0.193415,-13.229249,-1.017635,34,2.8139665,2,2.8662088,0.0588,15,2.8273978,0.4412,17,2.7959688,0.5000,Deca
deca_Ag_03_Au_10_config_310,-11989.8944,-11992.157383,0.993775,0.17305,10,3,-0.614169,-0.047244,-2.587531,-0.199041,-13.302383,-1.023260,34,2.8202515,2,2.9106317,0.0588,16,2.8407829,0.4706,16,2.7884221,0.4706,Deca
deca_Ag_03_Au_10_config_311,-11990.0424,-11992.123856,0.993208,0.17044,10,3,-0.762169,-0.058628,-2.554004,-0.196462,-13.268856,-1.020681,35,2.8338044,1,3.1234088,0.0286,17,2.8247738,0.4857,17,2.8257995,0.4857,Deca
deca_Ag_03_Au_10_config_312,-11990.0199,-11991.780440,0.993301,0.17087,10,3,-0.739669,-0.056898,-2.210588,-0.170045,-12.925440,-0.994265,35,2.8305750,2,2.8349802,0.0571,12,2.8200700,0.3429,21,2.8361583,0.6000,Deca
deca_Ag_03_Au_10_config_313,-11992.3115,-11992.326823,0.988114,0.15362,10,3,-3.031269,-0.233175,-2.756971,-0.212075,-13.471823,-1.036294,36,2.8389950,2,2.9563193,0.0556,17,2.8273606,0.4722,17,2.8368263,0.4722,Deca
deca_Ag_03_Au_10_config_314,-11990.0381,-11990.398041,2.968059,0.13159,10,3,-0.757869,-0.058298,-0.828189,-0.063707,-11.543041,-0.887926,37,2.8477738,3,2.8483407,0.0811,16,2.8194687,0.4324,18,2.8728397,0.4865,Deca
deca_Ag_03_Au_10_config_315,-11989.0831,-11992.207532,0.993700,0.17271,10,3,0.197131,0.015164,-2.637680,-0.202898,-13.352532,-1.027118,32,2.8012862,1,2.8522806,0.0313,17,2.8188822,0.5313,14,2.7762780,0.4375,Deca
deca_Ag_03_Au_10_config_316,-11990.2910,-11991.291690,0.995109,0.18031,10,3,-1.010769,-0.077751,-1.721838,-0.132449,-12.436690,-0.956668,35,2.8387141,2,2.7855694,0.0571,17,2.8383172,0.4857,16,2.8457789,0.4571,Deca
deca_Ag_03_Au_10_config_317,-11989.7026,-11991.966921,0.993786,0.17331,10,3,-0.422369,-0.032490,-2.397069,-0.184390,-13.111921,-1.008609,35,2.8366389,2,2.8334174,0.0571,14,2.8544736,0.4000,19,2.8238366,0.5429,Deca
deca_Ag_03_Au_10_config_318,-11989.8241,-11992.251340,0.997129,0.19617,10,3,-0.543869,-0.041836,-2.681488,-0.206268,-13.396340,-1.030488,35,2.8323712,2,2.9059339,0.0571,16,2.8388066,0.4571,17,2.8176594,0.4857,Deca
