NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
Ico_Ag13_Au00,-12922.8667,-12922.894,5,0.4343,0,13,0,0,0,0,-19.809,-1.524,42,2.8637,42,2.8637,1,0,0,0,0,0,0,ICO,Ih,0.0003,0.0017,Ih
Ag_12_ICO_AgIco12_Au1_center,-12829.3596,-12829.4925,5,0.2639,1,12,0.160923,0.012379,0.06897,0.005305,-18.83,-1.448,42,2.8836,30,2.9245,0.7143,12,2.7813,0.2857,0,0,0,ICO,Ih,0.0384,0.0196,Ih
Ag_12_ICO_AgIco12_Au1_face,-12829.7295,-12829.8758,3,0.0931,1,12,-0.208977,-0.016075,-0.314328,-0.024179,-19.214,-1.478,42,2.8794,36,2.8704,0.8571,6,2.9334,0.1429,0,0,0,ICO,C5v,0.2322,0.0482,Ih
Ag_11_ICO_AgIco11_Au2_face_bottom,-12735.9617,-12736.1708,0.999,0.2098,2,11,0.212646,0.016357,0.058206,0.004477,-17.932,-1.379,42,2.8787,30,2.8475,0.7143,12,2.9567,0.2857,0,0,0,ICO,C2v,5.602,0.2367,Ih
Ag_11_ICO_AgIco11_Au2_face_center,-12736.2099,-12736.3483,4.871,0.0894,2,11,-0.035554,-0.002735,-0.119328,-0.009179,-18.109,-1.393,42,2.8833,25,2.9273,0.5952,16,2.821,0.381,1,2.7797,0.0238,ICO,C5v,0.0387,0.0197,Ih
Ag_11_ICO_AgIco11_Au2_top_bottom,-12736.8885,-12737.0341,3,0.0886,2,11,-0.714154,-0.054935,-0.80514,-0.061934,-18.795,-1.446,42,2.8761,30,2.8543,0.7143,12,2.9305,0.2857,0,0,0,ICO,D5d,0.2137,0.0462,Ih
Ag_11_ICO_AgIco11_Au2_top_face,-12736.6312,-12736.9323,0.999,0.2068,2,11,-0.456854,-0.035143,-0.703328,-0.054102,-18.693,-1.438,40,2.8739,31,2.8661,0.775,9,2.901,0.225,0,0,0,ICO,NO,,,C2h
Ag_10_ICO_AgIco10_Au3_2face_center,-12643.0356,-12643.3682,2.991,0.137,3,10,-0.207431,-0.015956,-0.471747,-0.036288,-17.552,-1.35,41,2.8797,21,2.9319,0.5122,18,2.8164,0.439,2,2.9007,0.0488,ICO,Cs,0.031,0.0176,Th
Ag_10_ICO_AgIco10_Au3_3face,-12643.5231,-12643.8998,0.998,0.1974,3,10,-0.694931,-0.053456,-1.003379,-0.077183,-18.084,-1.391,40,2.8744,26,2.8634,0.65,14,2.8947,0.35,0,0,0,ICO,Cs,0.0686,0.0262,D5h
Ag_10_ICO_AgIco10_Au3_top_2face,-12643.4693,-12644.0051,0.999,0.0457,3,10,-0.641131,-0.049318,-1.108615,-0.085278,-18.189,-1.399,39,2.8669,27,2.874,0.6923,12,2.8507,0.3077,0,0,0,ICO,C3v,0.135,0.0367,C2h
Ag_10_ICO_AgIco10_Au3_top_2face2,-12643.5513,-12643.9386,0.999,0.1693,3,10,-0.723131,-0.055625,-1.042175,-0.080167,-18.123,-1.394,39,2.866,25,2.8616,0.641,14,2.8739,0.359,0,0,0,ICO,NO,,,C3v
Ag_10_ICO_AgIco10_Au3_top_face_bottom,-12643.7662,-12644.0301,0.999,0.187,3,10,-0.938031,-0.072156,-1.13366,-0.087205,-18.214,-1.401,41,2.873,25,2.8399,0.6098,16,2.9247,0.3902,0,0,0,ICO,Cs,0.0932,0.0305,Ih
Ag_10_ICO_Configs_3_of_13_302,-12643.0737,-12643.3543,1,0.191,3,10,-0.245531,-0.018887,-0.457801,-0.035215,-17.538,-1.349,40,2.8819,20,2.8998,0.5,18,2.8562,0.45,2,2.9328,0.05,ICO,C2v,0.1196,0.0346,Ih
Ag_10_ICO_Configs_3_of_13_303,-12643.2927,-12643.4855,3,0.0377,3,10,-0.464531,-0.035733,-0.589022,-0.045309,-17.669,-1.359,42,2.8834,20,2.9022,0.4762,20,2.8672,0.4762,2,2.8583,0.0476,ICO,D5d,0.0578,0.0241,Ih
Ag_10_ICO_Configs_3_of_13_308,-12643.5322,-12643.8351,0.998,0.2034,3,10,-0.704031,-0.054156,-0.9386,-0.0722,-18.019,-1.386,42,2.8863,24,2.8521,0.5714,18,2.9319,0.4286,0,0,0,ICO,C3v,0.1865,0.0432,Ih
Ag_09_ICO_Ag_09_Ico13_config.303,-12549.8993,-12550.3587,0.999,0.1568,4,9,-0.417308,-0.032101,-0.794711,-0.061132,-16.966,-1.305,39,2.875,16,2.9145,0.4103,20,2.8364,0.5128,3,2.9213,0.0769,ICO,NO,,,C2h
Ag_09_ICO_Ag_09_Ico13_config.305,-12549.925,-12550.232,0.997,0.1953,4,9,-0.443008,-0.034078,-0.668019,-0.051386,-16.839,-1.295,42,2.8979,15,2.9105,0.3571,24,2.8945,0.5714,3,2.862,0.0714,ICO,C3v,0.1576,0.0397,Ih
Ag_09_ICO_Ag_09_Ico13_config.309,-12550.6376,-12550.9845,0.997,0.1977,4,9,-1.155608,-0.088893,-1.420539,-0.109272,-17.592,-1.353,39,2.865,21,2.8499,0.5385,18,2.8826,0.4615,0,0,0,ICO,C2,0.0729,0.027,Ih
Ag_09_ICO_Ag_09_Ico13_config.310,-12550.3253,-12550.7111,0.998,0.2036,4,9,-0.843308,-0.06487,-1.147143,-0.088242,-17.318,-1.332,41,2.8773,21,2.8539,0.5122,18,2.8882,0.439,2,3.0252,0.0488,ICO,NO,,,Ih
Ag_09_ICO_Ag_09_Ico13_config.312,-12550.5906,-12550.9291,0.998,0.2037,4,9,-1.108608,-0.085278,-1.365163,-0.105013,-17.536,-1.349,41,2.8794,20,2.84,0.4878,20,2.9029,0.4878,1,3.1954,0.0244,ICO,Cs,0.137,0.037,Ih
Ag_09_ICO_Ag_09_Ico13_config.313,-12550.3485,-12551.0707,0.999,0.1534,4,9,-0.866508,-0.066654,-1.506692,-0.115899,-17.678,-1.36,38,2.8568,19,2.8467,0.5,19,2.8669,0.5,0,0,0,ICO,NO,,,Cs
Ag_09_ICO_Ag_09_Ico13_config.314,-12550.4344,-12550.8354,0.998,0.2063,4,9,-0.952408,-0.073262,-1.27141,-0.097801,-17.442,-1.342,40,2.8759,18,2.838,0.45,22,2.9069,0.55,0,0,0,ICO,NO,,,C2v
Ag_09_ICO_Ag_09_Ico13_config.315,-12550.8792,-12551.104,0.999,0.1986,4,9,-1.397208,-0.107478,-1.539991,-0.118461,-17.711,-1.362,42,2.8771,20,2.8194,0.4762,20,2.9077,0.4762,2,3.1476,0.0476,ICO,D2h,0.4784,0.0692,Ih
Ag_09_ICO_AgIco9_Au4_2face_2face2,-12550.18,-12551.2279,0.999,0.1878,4,9,-0.698008,-0.053693,-1.663918,-0.127994,-17.835,-1.372,33,2.8104,19,2.8348,0.5758,14,2.7773,0.4242,0,0,0,ICO,Cs,8.4146,0.2901,C2v
Ag_09_ICO_AgIco9_Au4_3face_bottom,-12550.4041,-12550.6686,2.942,0.1812,4,9,-0.922108,-0.070931,-1.104635,-0.084972,-17.276,-1.329,41,2.8761,20,2.8704,0.4878,20,2.8672,0.4878,1,3.1689,0.0244,ICO,NO,,,Ih
Ag_09_ICO_AgIco9_Au4_3face_center,-12549.9826,-12550.3111,0.996,0.1793,4,9,-0.500608,-0.038508,-0.747085,-0.057468,-16.918,-1.301,40,2.8832,17,2.9317,0.425,20,2.8375,0.5,3,2.9121,0.075,ICO,Cs,0.028,0.0167,Ih
Ag_09_ICO_AgIco9_Au4_3face_face2,-12550.1149,-12550.7379,0.997,0.1724,4,9,-0.632908,-0.048685,-1.173922,-0.090302,-17.345,-1.334,40,2.868,22,2.8724,0.55,16,2.8443,0.4,2,3.0091,0.05,ICO,Cs,0.0922,0.0304,Th
Ag_09_ICO_AgIco9_Au4_top_2face_bottom,-12550.6165,-12551.077,0.999,0.2018,4,9,-1.134508,-0.08727,-1.51306,-0.116389,-17.684,-1.36,39,2.869,21,2.8795,0.5385,18,2.8567,0.4615,0,0,0,ICO,NO,,,C3v
Ag_09_ICO_AgIco9_Au4_top_2face_center,-12549.5637,-12550.398,0.999,0.1804,4,9,-0.081708,-0.006285,-0.834052,-0.064158,-17.005,-1.308,39,2.8731,18,2.8953,0.4615,18,2.8419,0.4615,3,2.9277,0.0769,ICO,C3v,0.5399,0.0735,C3v
Ag_09_ICO_AgIco9_Au4_top_face_center_bottom,-12550.1022,-12550.4536,1,0.1965,4,9,-0.620208,-0.047708,-0.889634,-0.068433,-17.061,-1.312,41,2.8852,16,2.9017,0.3902,22,2.8676,0.5366,3,2.926,0.0732,ICO,Cs,0.0226,0.015,C2v
Ag_08_ICO_Ag_08_Ico13_config.302,-12456.5786,-12457.1267,0.997,0.1943,5,8,-0.442785,-0.03406,-0.895262,-0.068866,-16.157,-1.243,40,2.8842,14,2.9685,0.35,20,2.8141,0.5,6,2.9214,0.15,ICO,NO,,,C2h
Ag_08_ICO_Ag_08_Ico13_config.306,-12456.7275,-12457.0491,2.986,0.158,5,8,-0.591685,-0.045514,-0.817652,-0.062896,-16.079,-1.237,41,2.8862,12,2.9461,0.2927,24,2.8528,0.5854,5,2.9026,0.122,ICO,NO,,,Ih
Ag_08_ICO_Ag_08_Ico13_config.307,-12456.9174,-12457.2939,0.999,0.2228,5,8,-0.781585,-0.060122,-1.062443,-0.081726,-16.324,-1.256,41,2.8892,12,2.9069,0.2927,24,2.8697,0.5854,5,2.9405,0.122,ICO,Cs,0.0701,0.0265,Ih
Ag_08_ICO_Ag_08_Ico13_config.308,-12456.9322,-12457.4627,0.999,0.1635,5,8,-0.796385,-0.06126,-1.231246,-0.094711,-16.493,-1.269,39,2.8742,12,2.9274,0.3077,23,2.8321,0.5897,4,2.9564,0.1026,ICO,NO,,,Cs
Ag_08_ICO_Ag_08_Ico13_config.309,-12456.759,-12457.3603,0.998,0.2001,5,8,-0.623185,-0.047937,-1.128808,-0.086831,-16.39,-1.261,38,2.8703,10,2.922,0.2632,24,2.8244,0.6316,4,3.016,0.1053,ICO,NO,,,Cs
Ag_08_ICO_Ag_08_Ico13_config.310,-12457.1649,-12457.4777,0.999,0.2022,5,8,-1.029085,-0.07916,-1.246252,-0.095866,-16.508,-1.27,40,2.8739,12,2.8828,0.3,24,2.8683,0.6,4,2.8803,0.1,ICO,D2h,0.9647,0.0982,Ih
Ag_08_ICO_Ag_08_Ico13_config.312,-12457.097,-12457.7562,0.998,0.2062,5,8,-0.961185,-0.073937,-1.524688,-0.117284,-16.786,-1.291,39,2.8677,18,2.8626,0.4615,18,2.858,0.4615,3,2.9562,0.0769,ICO,NO,,,C3v
Ag_08_ICO_Ag_08_Ico13_config.314,-12457.1129,-12457.3733,2.976,0.1326,5,8,-0.977085,-0.07516,-1.141874,-0.087836,-16.403,-1.262,40,2.8674,17,2.8774,0.425,20,2.8472,0.5,3,2.9456,0.075,ICO,Cs,0.7355,0.0858,Th
Ag_08_ICO_Ag_08_Ico13_config.316,-12457.3063,-12457.9199,0.997,0.1939,5,8,-1.170485,-0.090037,-1.688455,-0.129881,-16.95,-1.304,39,2.8714,16,2.8891,0.4103,22,2.8642,0.5641,1,2.7471,0.0256,ICO,NO,,,C3v
Ag_08_ICO_Ag_08_Ico13_config.317,-12457.6826,-12457.542,0.998,0.2012,5,8,-1.546785,-0.118983,-1.310569,-0.100813,-16.572,-1.275,35,2.8347,12,2.8169,0.3429,18,2.8602,0.5143,5,2.7859,0.1429,ICO,NO,,,NO
Ag_08_ICO_Ag_08_Ico13_config.318,-12457.3754,-12457.881,0.998,0.2079,5,8,-1.239585,-0.095353,-1.649573,-0.12689,-16.911,-1.301,37,2.8552,15,2.8398,0.4054,20,2.8394,0.5405,2,3.1287,0.0541,ICO,NO,,,NO
Ag_08_ICO_Ag_08_Ico13_config.319,-12457.6948,-12457.7731,0.997,0.1997,5,8,-1.558985,-0.119922,-1.541682,-0.118591,-16.803,-1.293,41,2.8821,16,2.8414,0.3902,22,2.8784,0.5366,3,3.1275,0.0732,ICO,Cs,0.1507,0.0388,Ih
Ag_08_ICO_Ag_08_Ico13_config.321,-12457.1911,-12457.4969,2.998,0.2203,5,8,-1.055285,-0.081176,-1.265452,-0.097342,-16.527,-1.271,40,2.8717,14,2.8414,0.35,24,2.8719,0.6,2,3.0814,0.05,ICO,NO,,,Ih
Ag_08_ICO_Ag_08_Ico13_config.322,-12457.4612,-12457.8931,0.998,0.2064,5,8,-1.325385,-0.101953,-1.661594,-0.127815,-16.923,-1.302,39,2.8679,14,2.8374,0.359,24,2.8735,0.6154,1,3.1585,0.0256,ICO,NO,,,D2h
Ag_08_ICO_AgIco8_Au5_2face_2face2_center,-12456.5154,-12457.6908,0.999,0.1738,5,8,-0.379585,-0.029199,-1.459324,-0.112256,-16.721,-1.286,33,2.8108,15,2.7878,0.4545,14,2.8286,0.4242,4,2.8348,0.1212,ICO,C2v,0.1169,0.0342,C2v
Ag_08_ICO_AgIco8_Au5_2face_2face2_top,-12456.654,-12457.2062,2.986,0.1833,5,8,-0.518185,-0.03986,-0.974734,-0.07498,-16.236,-1.249,41,2.8753,19,2.8661,0.4634,16,2.8377,0.3902,6,3.0045,0.1463,ICO,NO,,,Ih
Ag_08_ICO_AgIco8_Au5_2face_top_center_bottom,-12456.669,-12457.4312,0.998,0.1948,5,8,-0.533185,-0.041014,-1.199767,-0.09229,-16.461,-1.266,39,2.8751,13,2.9021,0.3333,22,2.8507,0.5641,4,2.9217,0.1026,ICO,NO,,,C3v
Ag_08_ICO_AgIco8_Au5_3face_top_bottom,-12457.3247,-12458.3327,0.998,0.1948,5,8,-1.188885,-0.091453,-2.101262,-0.161636,-17.363,-1.336,33,2.8055,13,2.8206,0.3939,19,2.7889,0.5758,1,2.9259,0.0303,ICO,NO,,,NO
Ag_08_ICO_AgIco8_Au5_4face_center,-12456.6288,-12456.9983,2.99,0.1865,5,8,-0.492985,-0.037922,-0.76688,-0.058991,-16.028,-1.233,41,2.8849,13,2.9572,0.3171,22,2.8345,0.5366,6,2.9132,0.1463,ICO,Cs,0.5556,0.0745,Ih
Ag_08_ICO_AgIco8_Au5_4face_face2,-12457.2973,-12457.8206,0.997,0.2132,5,8,-1.161485,-0.089345,-1.589093,-0.122238,-16.851,-1.296,39,2.8724,17,2.8715,0.4359,20,2.8846,0.5128,2,2.7581,0.0513,ICO,NO,,,C3v
Ag_08_ICO_AgIco8_Au5_5face,-12457.0502,-12457.3182,3,0.2162,5,8,-0.914385,-0.070337,-1.086699,-0.083592,-16.348,-1.258,41,2.8722,17,2.8526,0.4146,20,2.8761,0.4878,4,2.9356,0.0976,ICO,C5v,0.9017,0.095,Ih
Ag_08_ICO_AgIco8_Au5_top_face_center_face2_bottom,-12456.9303,-12457.3613,0.996,0.1784,5,8,-0.794485,-0.061114,-1.1298,-0.086908,-16.391,-1.261,39,2.8779,13,2.9423,0.3333,22,2.8342,0.5641,4,2.9082,0.1026,ICO,C2,0.6219,0.0789,Th
Ag_07_ICO_Ag_07_Ico13_config.302,-12363.509,-12364.4146,0.997,0.1943,6,7,-0.719362,-0.055336,-1.515621,-0.116586,-15.868,-1.221,33,2.8121,11,2.7822,0.3333,16,2.8299,0.4848,6,2.8191,0.1818,ICO,NO,,,NO
Ag_07_ICO_Ag_07_Ico13_config.305,-12363.5173,-12364.1626,0.998,0.2014,6,7,-0.727662,-0.055974,-1.263679,-0.097206,-15.616,-1.201,38,2.8735,10,2.8883,0.2632,21,2.8593,0.5526,7,2.895,0.1842,ICO,NO,,,C3v
Ag_07_ICO_Ag_07_Ico13_config.306,-12363.6416,-12364.9485,0.995,0.1802,6,7,-0.851962,-0.065536,-2.049527,-0.157656,-16.401,-1.262,33,2.8063,9,2.7838,0.2727,20,2.8085,0.6061,4,2.8458,0.1212,ICO,NO,,,NO
Ag_07_ICO_Ag_07_Ico13_config.307,-12363.9225,-12364.3906,0.999,0.1615,6,7,-1.132862,-0.087143,-1.491588,-0.114738,-15.844,-1.219,38,2.8666,8,2.9081,0.2105,24,2.8336,0.6316,6,2.9433,0.1579,ICO,Cs,0.0134,0.0116,Cs
