Name	NAGAG	NAGAU	NAUAU	NTOT
1	AuIco10_Ag3_2face_center_ini.txt-measurement	3	18	21	42
2	AuIco10_Ag3_2face_center.txt-measurement	3	13	17	33
3	AuIco10_Ag3_3face_ini.txt-measurement	2	14	26	42
4	AuIco10_Ag3_3face.txt-measurement	3	15	18	36
5	AuIco10_Ag3_face_center_face2_ini.txt-measurement	3	18	21	42
6	AuIco10_Ag3_face_center_face2.txt-measurement	3	17	15	35
7	AuIco10_Ag3_top_2face_ini.txt-measurement	3	12	27	42
8	AuIco10_Ag3_top_2face.txt-measurement	3	13	19	35
9	AuIco10_Ag3_top_2face2_ini.txt-measurement	0	16	25	41
10	AuIco10_Ag3_top_2face2.txt-measurement	0	15	21	36
11	AuIco10_Ag3_top_bottom_center_ini.txt-measurement	2	20	20	42
12	AuIco10_Ag3_top_bottom_center.txt-measurement	2	18	16	36
13	AuIco10_Ag3_top_face_bottom_ini.txt-measurement	0	16	25	41
14	AuIco10_Ag3_top_face_bottom.txt-measurement	0	17	16	33
15	AuIco10_Ag3_top_face_center_ini.txt-measurement	3	18	21	42
16	AuIco10_Ag3_top_face_center.txt-measurement	3	13	17	33
17	AuIco10_Ag3_top_face_face2_ini.txt-measurement	2	14	26	42
18	AuIco10_Ag3_top_face_face2.txt-measurement	3	15	18	36
19	AuIco11_Ag2_face_center_ini.txt-measurement	0	16	25	41
20	AuIco11_Ag2_face_center.txt-measurement	0	15	20	35
21	AuIco11_Ag2_face_face2_ini.txt-measurement	0	10	31	41
22	AuIco11_Ag2_face_face2.txt-measurement	0	12	21	33
23	AuIco11_Ag2_top_center_ini.txt-measurement	0	16	25	41
24	AuIco11_Ag2_top_center.txt-measurement	0	15	20	35
25	AuIco11_Ag2_top_face_ini.txt-measurement	0	10	31	41
26	AuIco11_Ag2_top_face.txt-measurement	0	10	22	32
27	AuIco7_Ag6_2face_top_center_2face2_ini.txt-measurement	12	18	12	42
28	AuIco7_Ag6_2face_top_center_2face2.txt-measurement	12	18	9	39
29	AuIco7_Ag6_3face_3face2_ini.txt-measurement	9	18	15	42
30	AuIco7_Ag6_3face_3face2.txt-measurement	9	18	15	42
31	AuIco7_Ag6_3face_bottom_2face2_ini.txt-measurement	9	18	15	42
32	AuIco7_Ag6_3face_bottom_2face2.txt-measurement	9	18	15	42
33	AuIco7_Ag6_3face_center_2face2_ini.txt-measurement	12	18	12	42
34	AuIco7_Ag6_3face_center_2face2.txt-measurement	12	17	8	37
35	AuIco7_Ag6_3face_top_2face2_ini.txt-measurement	10	16	16	42
36	AuIco7_Ag6_3face_top_2face2.txt-measurement	10	16	16	42
37	AuIco7_Ag6_3face_top_center_bottom_ini.txt-measurement	10	22	10	42
38	AuIco7_Ag6_3face_top_center_bottom.txt-measurement	10	22	10	42
39	AuIco7_Ag6_3face_top_center_face2_ini.txt-measurement	12	18	12	42
40	AuIco7_Ag6_3face_top_center_face2.txt-measurement	8	17	8	33
41	AuIco7_Ag6_4face_2face2_ini.txt-measurement	8	20	14	42
42	AuIco7_Ag6_4face_2face2.txt-measurement	8	20	13	41
43	AuIco7_Ag6_4face_top_bottom_ini.txt-measurement	7	22	13	42
44	AuIco7_Ag6_4face_top_bottom.txt-measurement	7	21	11	39
45	AuIco7_Ag6_4face_top_center_ini.txt-measurement	12	18	12	42
46	AuIco7_Ag6_4face_top_center.txt-measurement	12	18	9	39
