"","NAME","E_KS..1st.","E_Free","Spin","Gap","N_Au","N_Ag","DE1stStep","DE1stSteppa","EEFinal","EEFinalpa","DE_Bulk","DE_Bulk_peratom","NBONDS","AVBONDLEN","NAGAGBONDS","AVAGAGBONDLEN","AGAGRATIO","NAGAUBONDS","AVAGAUBONDLEN","AGAURATIO","NAUAUBONDS","AVAUAUBONDLEN","AUAURATIO","Type"
"44","deca_Ag_04_Au_09_config_306",-12085.4069,-12085.46684,0.99431,0.17579,9,4,-2.862292307691,-0.220176331361,-2.617916923076,-0.201378224852,-14.188839,-1.091449,34,2.8130898,4,2.852299,0.1176,17,2.8264246,0.5,13,2.7835875,0.3824,"Deca"
"84","deca_Ag_04_Au_09_config_346",-12085.1858,-12085.18703,0.993063,0.16981,9,4,-2.64119230769,-0.203168639053,-2.338106923076,-0.179854378698,-13.909029,-1.069925,34,2.8244343,4,2.871402,0.1176,18,2.8207293,0.5294,12,2.8143358,0.3529,"Deca"
"98","deca_Ag_05_Au_08_config_307",-12178.5976,-12178.59765,0.996162,0.18761,8,5,-2.788615384614,-0.21450887574,-2.469656153846,-0.189973550296,-14.896647,-1.145896,37,2.852906,7,2.8654647,0.1892,18,2.8616984,0.4865,12,2.8323908,0.3243,"Deca"
"210","deca_Ag_06_Au_07_config_332",-12272.1495,-12272.34875,0.992999,0.16956,7,6,-3.076138461536,-0.236626035503,-2.941685384616,-0.226283491124,-16.224753,-1.248058,37,2.843286,8,2.874207,0.2162,22,2.8204954,0.5946,7,2.879575,0.1892,"Deca"
"248","deca_Ag_06_Au_07_config_370",-12271.7034,-12271.7033,0.998098,0.20852,7,6,-2.630038461537,-0.202310650887,-2.296235384616,-0.176633491124,-15.579302,-1.198408,36,2.8345628,6,2.8299472,0.1667,21,2.8231251,0.5833,9,2.8643267,0.25,"Deca"
"252","deca_Ag_06_Au_07_config_374",-12271.7961,-12271.81219,0.997371,0.19845,7,6,-2.722738461536,-0.209441420118,-2.405125384617,-0.185009644971,-15.688192,-1.206784,35,2.8311646,6,2.8468015,0.1714,22,2.8212421,0.6286,7,2.8489463,0.2,"Deca"
"259","deca_Ag_06_Au_07_config_381",-12272.1557,-12272.15688,0.9994,0.24318,7,6,-3.082338461536,-0.23710295858,-2.749815384617,-0.211524260355,-16.03288,-1.233298,33,2.8041036,6,2.786638,0.1818,20,2.7929575,0.6061,7,2.8509192,0.2121,"Deca"
"279","deca_Ag_06_Au_07_config_401",-12271.9967,-12272.00148,0.996811,0.1932,7,6,-2.923338461536,-0.224872189349,-2.594415384618,-0.199570414201,-15.877484,-1.221345,36,2.8315628,8,2.8760564,0.2222,21,2.8204303,0.5833,7,2.8141086,0.1944,"Deca"
"287","deca_Ag_06_Au_07_config_409",-12271.706,-12271.71167,0.994644,0.17756,7,6,-2.632638461537,-0.202510650887,-2.304605384617,-0.177277337278,-15.587666,-1.199051,34,2.817205,7,2.7890198,0.2059,18,2.7967012,0.5294,9,2.880136,0.2647,"Deca"
"288","deca_Ag_06_Au_07_config_410",-12272.1328,-12272.15881,0.997845,0.20497,7,6,-3.059438461536,-0.235341420118,-2.751745384618,-0.211672721894,-16.034814,-1.233447,36,2.83746,5,2.8291345,0.1389,23,2.8414047,0.6389,8,2.8313198,0.2222,"Deca"
"302","deca_Ag_07_Au_06_config_310",-12364.8762,-12364.88038,0.996176,0.1878,6,7,-2.538461538461,-0.195266272189,-2.194244615386,-0.168788047337,-16.333381,-1.256414,35,2.8278327,12,2.806572,0.3429,14,2.8504016,0.4,9,2.8210738,0.2571,"Deca"
"316","deca_Ag_07_Au_06_config_324",-12364.9351,-12364.95668,0.998305,0.21198,6,7,-2.597361538461,-0.19979704142,-2.270544615385,-0.174657278107,-16.409675,-1.262283,34,2.8206441,11,2.8576312,0.3235,18,2.7952414,0.5294,5,2.8307226,0.1471,"Deca"
"317","deca_Ag_07_Au_06_config_325",-12364.3982,-12365.23023,0.995582,0.1834,6,7,-2.06046153846,-0.15849704142,-2.544094615385,-0.195699585799,-16.683225,-1.283325,36,2.8380105,8,2.8533127,0.2222,22,2.8231559,0.6111,6,2.8720734,0.1667,"Deca"
"321","deca_Ag_07_Au_06_config_329",-12364.953,-12364.95482,0.995251,0.18125,6,7,-2.61526153846,-0.201173964497,-2.268684615387,-0.174514201184,-16.407823,-1.26214,33,2.8075757,9,2.7893271,0.2727,20,2.8037097,0.6061,4,2.8679681,0.1212,"Deca"
"329","deca_Ag_07_Au_06_config_337",-12365.1301,-12365.15822,0.994511,0.17686,6,7,-2.792361538461,-0.21479704142,-2.472084615385,-0.19016035503,-16.611217,-1.277786,36,2.831826,13,2.8568685,0.3611,16,2.7996428,0.4444,7,2.8588779,0.1944,"Deca"
"331","deca_Ag_07_Au_06_config_339",-12365.0781,-12365.10519,0.998357,0.10689,6,7,-2.740361538461,-0.21079704142,-2.419054615386,-0.18608112426,-16.558186,-1.273707,36,2.8382821,11,2.8801079,0.3056,22,2.7992947,0.6111,3,2.9708288,0.0833,"Deca"
"361","deca_Ag_07_Au_06_config_369",-12364.6932,-12364.69653,0.996793,0.19289,6,7,-2.35546153846,-0.181189349112,-2.010394615385,-0.154645739645,-16.149528,-1.242271,36,2.8421159,12,2.8557489,0.3333,20,2.8379371,0.5556,4,2.8221109,0.1111,"Deca"
"367","deca_Ag_07_Au_06_config_375",-12364.3501,-12364.95878,0.99587,0.18543,6,7,-2.01236153846,-0.15479704142,-2.272644615387,-0.174818816568,-16.411783,-1.262445,36,2.8438902,13,2.9258268,0.3611,18,2.7873158,0.5,5,2.8345199,0.1389,"Deca"
"369","deca_Ag_07_Au_06_config_377",-12364.9964,-12364.99857,0.998422,0.21429,6,7,-2.65866153846,-0.204512426035,-2.312434615385,-0.177879585799,-16.451572,-1.265506,37,2.8517461,13,2.8816717,0.3514,21,2.8245237,0.5676,3,2.9126241,0.0811,"Deca"
"379","deca_Ag_07_Au_06_config_387",-12364.594,-12364.67454,0.997833,0.2048,6,7,-2.25626153846,-0.173558579882,-1.988404615386,-0.152954201184,-16.127544,-1.24058,34,2.8232057,11,2.8042269,0.3235,16,2.8289146,0.4706,7,2.839978,0.2059,"Deca"
"408","deca_Ag_08_Au_05_config_302",-12458.5308,-12458.53499,0.993549,0.17197,5,8,-2.928684615385,-0.225283431953,-2.569783846155,-0.197675680473,-17.564988,-1.351153,36,2.8347754,12,2.820751,0.3333,21,2.8326094,0.5833,3,2.9060421,0.0833,"Deca"
"417","deca_Ag_08_Au_05_config_311",-12458.3549,-12458.37489,0.996189,0.18783,5,8,-2.752784615384,-0.211752662722,-2.409683846154,-0.185360295858,-17.404894,-1.338838,36,2.837194,12,2.852309,0.3333,21,2.8224976,0.5833,3,2.8796113,0.0833,"Deca"
"423","deca_Ag_08_Au_05_config_317",-12458.3901,-12458.41595,0.999157,0.23315,5,8,-2.787984615385,-0.21446035503,-2.450743846155,-0.188518757397,-17.445954,-1.341996,34,2.8104591,12,2.8081474,0.3529,19,2.8033669,0.5588,3,2.8646212,0.0882,"Deca"
"426","deca_Ag_08_Au_05_config_320",-12458.1729,-12458.1844,0.992239,0.16644,5,8,-2.570784615384,-0.197752662722,-2.219193846155,-0.170707218935,-17.2144,-1.324185,34,2.8084545,12,2.8303194,0.3529,18,2.7935593,0.5294,4,2.809891,0.1176,"Deca"
"436","deca_Ag_08_Au_05_config_330",-12458.156,-12458.172,0.993894,0.17363,5,8,-2.553884615385,-0.196452662722,-2.206793846155,-0.169753372781,-17.202001,-1.323231,36,2.8330581,18,2.8541927,0.5,12,2.8034029,0.3333,6,2.8289623,0.1667,"Deca"
"440","deca_Ag_08_Au_05_config_334",-12458.1415,-12458.14251,0.998839,0.15533,5,8,-2.539384615384,-0.195337278106,-2.177303846154,-0.167484911243,-17.172509,-1.320962,37,2.8407502,17,2.8572533,0.4595,18,2.8148997,0.4865,2,2.9331336,0.0541,"Deca"
"451","deca_Ag_08_Au_05_config_345",-12457.9663,-12457.96808,0.997512,0.20093,5,8,-2.364184615384,-0.18186035503,-2.002873846155,-0.154067218935,-16.998082,-1.307545,41,2.8801062,16,2.8375783,0.3902,22,2.8792188,0.5366,3,3.1134241,0.0732,"Deca"
"455","deca_Ag_08_Au_05_config_349",-12458.3793,-12458.38194,0.989359,0.15692,5,8,-2.777184615385,-0.213629585799,-2.416733846154,-0.18590260355,-17.411944,-1.33938,36,2.8365338,14,2.8459003,0.3889,18,2.831094,0.5,4,2.828234,0.1111,"Deca"
"461","deca_Ag_08_Au_05_config_355",-12457.9029,-12458.38032,0.996475,0.19021,5,8,-2.300784615383,-0.176983431953,-2.415113846155,-0.185777988166,-17.410318,-1.339255,35,2.8267775,15,2.8529327,0.4286,18,2.7965207,0.5143,2,2.9029193,0.0571,"Deca"
"483","deca_Ag_08_Au_05_config_377",-12458.2795,-12458.28789,0.999969,0.19057,5,8,-2.677384615385,-0.205952662722,-2.322683846154,-0.178667988166,-17.317887,-1.332145,35,2.8325818,14,2.826489,0.4,18,2.837244,0.5143,3,2.833041,0.0857,"Deca"
"507","deca_Ag_09_Au_04_config_314",-12551.3188,-12551.31943,0.995199,0.1809,4,9,-2.452307692305,-0.188639053254,-2.075153076923,-0.159627159763,-17.926428,-1.378956,36,2.8385975,21,2.8584344,0.5833,11,2.7963674,0.3056,4,2.8505931,0.1111,"Deca"
"512","deca_Ag_09_Au_04_config_319",-12550.9346,-12550.93738,0.998506,0.17812,4,9,-2.068107692307,-0.159085207101,-1.693103076923,-0.130238698225,-17.544384,-1.349568,39,2.8716004,19,2.8426588,0.4872,18,2.86847,0.4615,2,3.1747243,0.0513,"Deca"
"515","deca_Ag_09_Au_04_config_322",-12551.4198,-12551.4205,0.991412,0.16339,4,9,-2.553307692306,-0.196408284024,-2.176223076924,-0.167401775148,-18.027504,-1.386731,37,2.8478446,20,2.863977,0.5405,14,2.8289475,0.3784,3,2.8284838,0.0811,"Deca"
"525","deca_Ag_09_Au_04_config_332",-12551.142293,-12551.1375,0.999997,0.52202,4,9,-2.275800692307,-0.175061591716,-1.893223076924,-0.145632544379,-17.744499,-1.364961,34,2.8183942,14,2.8063791,0.4118,17,2.80059,0.5,3,2.9753568,0.0882,"Deca"
"526","deca_Ag_09_Au_04_config_333",-12551.7963,-12551.79597,0.995011,0.17966,4,9,-2.929807692306,-0.225369822485,-2.551693076923,-0.19628408284,-18.402974,-1.415613,37,2.8456368,18,2.8799312,0.4865,18,2.8142135,0.4865,1,2.7939484,0.027,"Deca"
"532","deca_Ag_09_Au_04_config_339",-12551.4936,-12551.49607,0.99505,0.17998,4,9,-2.627107692306,-0.2020852071,-2.251793076923,-0.173214852071,-18.103068,-1.392544,36,2.8332951,18,2.837244,0.5,16,2.8063853,0.4444,2,3.0130332,0.0556,"Deca"
"545","deca_Ag_09_Au_04_config_352",-12551.5247,-12551.74491,0.999919,0.17377,4,9,-2.658207692306,-0.204477514793,-2.500633076923,-0.192356390533,-18.351906,-1.411685,35,2.8234873,18,2.8325932,0.5143,16,2.8077726,0.4571,1,2.9110203,0.0286,"Deca"
"559","deca_Ag_10_Au_03_config_313",-12644.261,-12644.58331,0.996918,0.19425,3,10,-2.13013076923,-0.163856213018,-2.059962307694,-0.158458639053,-18.767311,-1.443639,36,2.8376539,21,2.8333173,0.5833,14,2.8486321,0.3889,1,2.7750418,0.0278,"Deca"
