"","N_Ag_GS","Names_GS","Schoenflies.symbol_GS","Schoenflies.symbol_GS_T","EEFinal_GS","N_Ag_SYM","Names_SYM","Schoenflies.symbol_SYM","Schoenflies.symbol_SYM_T","EEFinal_SYM","Difference"
"1",0,"Ag_00_Au_13_BBP_config_301_LE.xyz","C2v","C2v",0,0,"Ag_00_Au_13_BBP_config_301_LE.xyz","C2v","C2v",0,0
"2",1,"Ag_01_Au_12_BBP_config_304_LE.xyz","NO","C2v",-0.656,1,"Ag_01_Au_12_BBP_config_301.xyz","C2v","C2v",-0.486,0.17
"3",2,"Ag_02_Au_11_BBP_config_309_LE.xyz","NO","NO",-0.9738,2,"Ag_02_Au_11_BBP_config_312.xyz","Cs","C2",-0.8567,0.1171
"4",3,"Ag_03_Au_10_BBP_config_335_LE.xyz","NO","C2v",-1.3143,3,"Ag_03_Au_10_BBP_config_334.xyz","Cs","C2v",-1.1488,0.1655
"5",4,"Ag_04_Au_09_BBP_config_366_LE.xyz","NO","NO",-1.5534,4,"Ag_04_Au_09_BBP_config_463.xyz","C2","C2v",-1.2388,0.3146
"6",5,"Ag_05_Au_08_BBP_config_452_LE.xyz","NO","NO",-1.6902,5,"Ag_05_Au_08_BBP_config_406.xyz","C2","C2",-1.4116,0.2786
"7",6,"Ag_06_Au_07_BBP_config_451_LE.xyz","NO","NO",-1.6357,6,"Ag_06_Au_07_BBP_config_739.xyz","C2","C2v",-1.5628,0.0729
"8",7,"Ag_07_Au_06_BBP_config_542_LE.xyz","C2","C2",-1.8192,7,"Ag_07_Au_06_BBP_config_542_LE.xyz","C2","C2",-1.8192,0
"9",8,"Ag_08_Au_05_BBP_config_568_LE.xyz","NO","C2",-1.5341,8,"Ag_08_Au_05_BBP_config_548.xyz","Cs","C2v",-1.3354,0.1987
"10",9,"Ag_09_Au_04_BBP_config_485_LE.xyz","NO","C2",-1.3668,9,"Ag_09_Au_04_BBP_config_460.xyz","Cs","C2v",-1.1532,0.2136
"11",10,"Ag_10_Au_03_BBP_config_368_LE.xyz","NO","C2",-1.0872,10,"Ag_10_Au_03_BBP_config_334.xyz","Cs","Cs",-0.9147,0.1725
"12",11,"Ag_11_Au_02_BBP_config_312_LE.xyz","Cs","Cs",-0.7693,11,"Ag_11_Au_02_BBP_config_312_LE.xyz","Cs","Cs",-0.7693,0
"13",12,"Ag_12_Au_01_BBP_config_303_LE.xyz","NO","NO",-0.3689,12,"Ag_12_Au_01_BBP_config_305.xyz","Cs","C2v",-0.2765,0.0924
