Name    NAGAG   NAGAU   NAUAU   NTOT
Ag_07_Ico13_config.302  11      20      11      42
Ag_07_Ico13_config.305  10      22      10      42
Ag_07_Ico13_config.306  9       24      9       42
Ag_07_Ico13_config.307  9       24      9       42
Ag_07_Ico13_config.308  9       24      9       42
Ag_07_Ico13_config.309  9       24      9       42
Ag_07_Ico13_config.311  8       26      8       42
Ag_07_Ico13_config.312  8       26      8       42
Ag_07_Ico13_config.316  15      18      9       42
Ag_07_Ico13_config.318  13      22      7       42
Ag_07_Ico13_config.319  13      22      7       42
Ag_07_Ico13_config.320  12      24      6       42
Ag_07_Ico13_config.321  12      24      6       42
Ag_07_Ico13_config.322  12      24      6       42
Ag_07_Ico13_config.324  13      22      7       42
Ag_07_Ico13_config.325  12      24      6       42
Ag_07_Ico13_config.326  12      24      6       42
Ag_07_Ico13_config.327  11      26      5       42
Ag_07_Ico13_config.328  12      24      6       42
Ag_07_Ico13_config.329  12      24      6       42
Ag_08_Ico13_config.302  14      20      8       42
Ag_08_Ico13_config.306  12      24      6       42
Ag_08_Ico13_config.307  12      24      6       42
Ag_08_Ico13_config.308  12      24      6       42
Ag_08_Ico13_config.309  11      26      5       42
Ag_08_Ico13_config.310  12      24      6       42
Ag_08_Ico13_config.312  18      18      6       42
Ag_08_Ico13_config.314  17      20      5       42
Ag_08_Ico13_config.316  16      22      4       42
Ag_08_Ico13_config.317  16      22      4       42
Ag_08_Ico13_config.318  16      22      4       42
Ag_08_Ico13_config.319  16      22      4       42
Ag_08_Ico13_config.321  15      24      3       42
Ag_08_Ico13_config.322  15      24      3       42
Ag_09_Ico13_config.303  16      22      4       42
Ag_09_Ico13_config.305  15      24      3       42
Ag_09_Ico13_config.309  21      18      3       42
Ag_09_Ico13_config.310  21      18      3       42
Ag_09_Ico13_config.312  20      20      2       42
Ag_09_Ico13_config.313  20      20      2       42
Ag_09_Ico13_config.314  19      22      0       41
Ag_09_Ico13_config.315  20      20      2       42
Ag_10_Ico13_config.302  20      20      2       42
Ag_10_Ico13_config.303  20      20      2       42
Ag_10_Ico13_config.308  24      18      0       42
AgIco10_Au3_2face_center_ini    21      18      3       42
AgIco10_Au3_3face_ini   26      14      2       42
AgIco10_Au3_top_2face_ini       27      12      3       42
