Name	NAGAG_ini	NAGAU_ini	NAUAU_ini	NTOT_ini	Ag	Au
Ag_01_ICO_AuIco12_Ag1_center	0	12	30	42	1	12
Ag_01_ICO_AuIco12_Ag1_face	0	6	36	42	1	12
Ag_02_ICO_AuIco11_Ag2_face_bottom	0	12	30	42	2	11
Ag_02_ICO_AuIco11_Ag2_face_center	0	16	25	41	2	11
Ag_02_ICO_AuIco11_Ag2_top_bottom	0	12	30	42	2	11
Ag_02_ICO_AuIco11_Ag2_top_face	0	10	31	41	2	11
Ag_03_ICO_Au_10_Ico13_config.308	0	18	24	42	3	10
Ag_03_ICO_AuIco10_Ag3_top_2face2	0	16	25	41	3	10
Ag_03_ICO_AuIco10_Ag3_top_face_bottom	0	16	25	41	3	10
Ag_03_ICO_Au_10_Ico13_config.302	2	20	20	42	3	10
Ag_03_ICO_Au_10_Ico13_config.303	2	20	20	42	3	10
Ag_03_ICO_AuIco10_Ag3_3face	2	14	26	42	3	10
Ag_03_ICO_AuIco10_Ag3_2face_center	3	18	21	42	3	10
Ag_03_ICO_AuIco10_Ag3_top_2face	3	12	27	42	3	10
Ag_04_ICO_Au_09_Ico13_config.314	0	22	19	41	4	9
Ag_04_ICO_Au_09_Ico13_config.312	2	20	20	42	4	9
Ag_04_ICO_Au_09_Ico13_config.313	2	20	20	42	4	9
Ag_04_ICO_Au_09_Ico13_config.315	2	20	20	42	4	9
Ag_04_ICO_AuIco9_Ag4_3face_bottom	2	20	20	42	4	9
Ag_04_ICO_Au_09_Ico13_config.305	3	24	15	42	4	9
Ag_04_ICO_Au_09_Ico13_config.309	3	18	21	42	4	9
Ag_04_ICO_Au_09_Ico13_config.310	3	18	21	42	4	9
Ag_04_ICO_AuIco9_Ag4_top_2face_bottom	3	18	21	42	4	9
Ag_04_ICO_Au_09_Ico13_config.303	4	22	16	42	4	9
Ag_04_ICO_AuIco9_Ag4_3face_face2	4	16	22	42	4	9
Ag_04_ICO_AuIco9_Ag4_top_face_center_bottom	4	22	16	42	4	9
Ag_04_ICO_AuIco9_Ag4_2face_2face2	5	14	23	42	4	9
Ag_04_ICO_AuIco9_Ag4_3face_center	5	20	17	42	4	9
Ag_04_ICO_AuIco9_Ag4_top_2face_center	6	18	18	42	4	9
Ag_05_ICO_Au_08_Ico13_config.321	3	24	15	42	5	8
Ag_05_ICO_Au_08_Ico13_config.322	3	24	15	42	5	8
Ag_05_ICO_Au_08_Ico13_config.316	4	22	16	42	5	8
Ag_05_ICO_Au_08_Ico13_config.317	4	22	16	42	5	8
Ag_05_ICO_Au_08_Ico13_config.318	4	22	16	42	5	8
Ag_05_ICO_Au_08_Ico13_config.319	4	22	16	42	5	8
Ag_05_ICO_Au_08_Ico13_config.309	5	26	11	42	5	8
Ag_05_ICO_Au_08_Ico13_config.314	5	20	17	42	5	8
Ag_05_ICO_AuIco8_Ag5_3face_top_bottom	5	20	17	42	5	8
Ag_05_ICO_AuIco8_Ag5_4face_face2	5	20	17	42	5	8
Ag_05_ICO_AuIco8_Ag5_5face	5	20	17	42	5	8
Ag_05_ICO_Au_08_Ico13_config.306	6	24	12	42	5	8
Ag_05_ICO_Au_08_Ico13_config.307	6	24	12	42	5	8
Ag_05_ICO_Au_08_Ico13_config.308	6	24	12	42	5	8
Ag_05_ICO_Au_08_Ico13_config.310	6	24	12	42	5	8
Ag_05_ICO_Au_08_Ico13_config.312	6	18	18	42	5	8
Ag_05_ICO_AuIco8_Ag5_2face_2face2_top	7	16	19	42	5	8
