"","NAME","E_KS..1st.","E_Free","Spin","Gap","N_Au","N_Ag","DE1stStep","DE1stSteppa","EEFinal","EEFinalpa","DE_Bulk","DE_Bulk_peratom","NBONDS","AVBONDLEN","NAGAGBONDS","AVAGAGBONDLEN","AGAGRATIO","NAGAUBONDS","AVAGAUBONDLEN","AGAURATIO","NAUAUBONDS","AVAUAUBONDLEN","AUAURATIO","Type","First"
"1","Ico_Ag00_Au13",-11709.3664,-11709.5715,4.9999,0.3412,13,0,0,0,0,0,-7.985,-0.614,42,2.8946,0,0,0,0,0,0,42,2.8946,1,"ICO","E_Final"
"3","Ag_01_ICO_AuIco12_Ag1_face",-11802.8886,-11804.01,0.998,0.2075,12,1,-0.176023,-0.01354,-1.106021,-0.085079,-10.001,-0.769,36,2.8412,0,0,0,5,2.8313,0.1389,31,2.8428,0.8611,"ICO","E_Final"
"4","Ag_02_ICO_AuIco11_Ag2_face_bottom",-11896.4601,-11898.5363,0.9976,0.2022,11,2,-0.401346,-0.030873,-2.299782,-0.176906,-12.104,-0.931,34,2.831,0,0,0,12,2.8089,0.3529,22,2.843,0.6471,"ICO","E_Final"
"10","Ag_03_ICO_Au_10_Ico13_config.308",-11990.0328,-11992.2833,0.9922,0.1663,10,3,-0.627869,-0.048298,-2.714305,-0.208793,-13.428,-1.033,36,2.8351,3,3.1576,0.0833,18,2.808,0.5,15,2.8032,0.4167,"ICO","E_Final"
"19","Ag_04_ICO_Au_09_Ico13_config.310",-12083.3472,-12085.5636,0.9986,0.2179,9,4,-0.596092,-0.045853,-2.662113,-0.204778,-14.286,-1.099,33,2.8131,4,2.851,0.1212,17,2.796,0.5152,12,2.8246,0.3636,"ICO","E_Final"
"49","Ag_05_ICO_AuIco8_Ag5_4face_center",-12176.9821,-12178.9269,0.9961,0.1874,8,5,-0.884815,-0.068063,-2.692929,-0.207148,-15.226,-1.171,33,2.817,6,2.9026,0.1818,20,2.8078,0.6061,7,2.7697,0.2121,"ICO","E_Final"
"68","Ag_06_ICO_Au_07_Ico13_config.325",-12270.5383,-12272.1348,0.9988,0.2217,7,6,-1.094838,-0.084218,-2.568372,-0.197567,-16.011,-1.232,33,2.804,7,2.8075,0.2121,21,2.8023,0.6364,5,2.8062,0.1515,"ICO","E_Final"
"94","Ag_07_ICO_Ag_07_Ico13_config.320",-12364.3194,-12365.3242,0.9983,0.2113,6,7,-1.529762,-0.117674,-2.425267,-0.186559,-16.777,-1.291,33,2.8156,10,2.8743,0.303,22,2.7769,0.6667,1,3.0799,0.0303,"ICO","E_Final"
"130","Ag_08_ICO_AgIco8_Au5_3face_top_bottom",-12457.3247,-12458.3327,0.9981,0.1948,5,8,-1.188885,-0.091453,-2.101262,-0.161636,-17.363,-1.336,33,2.8055,13,2.8206,0.3939,19,2.7889,0.5758,1,2.9259,0.0303,"ICO","E_Final"
"143","Ag_09_ICO_AgIco9_Au4_2face_2face2",-12550.18,-12551.2279,0.9988,0.1878,4,9,-0.698008,-0.053693,-1.663918,-0.127994,-17.835,-1.372,33,2.8104,19,2.8348,0.5758,14,2.7773,0.4242,0,0,0,"ICO","E_Final"
